file_name,caption,facing_direction,eye_color,hair_color,eyebrow_color,skin_tone
000125.jpg,"A man wearing a white shirt and black suit jacket, smiling.",front,blue,gray,gray,fair
000126.jpg,Portrait of a woman with blonde hair and light skin.,front,blue,blonde,blonde,light
000127.jpg,A senior man wearing a suit.,front,brown,gray,gray,fair
000128.jpg,A person with brown hair and a neutral expression.,front,brown,brown,brown,fair
000129.jpg,Adam Levine,front,brown,dark brown,dark brown,fair
000130.jpg,Man with short hair wearing a light blue shirt.,front,brown,brown,brown,fair
000131.jpg,A woman with dark hair and brown eyes smiling.,front,brown,dark brown,dark brown,olive
000132.jpg,Portrait of a young woman with dark hair.,front,brown,dark brown,dark brown,medium
000133.jpg,A young woman with blonde hair smiling.,front,blue,blonde,blonde,fair
000134.jpg,"A man with dark eyes and hair, smiling slightly.",front,dark brown,black,dark brown,brown
000135.jpg,A young man with dark hair and a neutral expression.,front,brown,dark brown,dark brown,fair
000136.jpg,Man with beard,front,brown,brown,brown,fair
000137.jpg,"A man with short, dark hair smiling.",front,brown,dark brown,dark brown,fair
000138.jpg,A man with gray hair smiling.,front,gray,gray,gray,fair
000139.jpg,"Portrait of a woman with long, wavy brown hair.",front,brown,brown,brown,fair
000140.jpg,close-up portrait of a young woman with blonde hair,front,blue,blonde,blonde,fair
000141.jpg,Close-up portrait of a woman with blonde hair.,front,brown,blonde,blonde,fair
000142.jpg,Close-up portrait of a woman with dark hair and intense eyes.,front,dark brown,dark brown,dark brown,fair
000143.jpg,Close-up portrait of a man with fair skin and light brown hair.,front,blue,light brown,light brown,fair
000144.jpg,Man with dark hair and sunglasses.,front,brown,dark brown,dark brown,fair
000145.jpg,woman smiling,front,brown,brown,brown,light
000146.jpg,"A woman with long, wavy brown hair smiling slightly.",front,brown,brown,brown,fair
000147.jpg,woman with blonde hair,front,blue,blonde,blonde,fair
000148.jpg,Woman looking to the side,side,brown,dark brown,dark brown,fair
000149.jpg,Person with mouth open,front,brown,brown,brown,fair
000150.jpg,Person with red hair and pale skin.,front,red,red,red,pale
000151.jpg,"A young woman with long, wavy brown hair smiling.",front,brown,brown,brown,light brown
000152.jpg,Man with glasses smiling,front,brown,brown,brown,fair
000153.jpg,Man smiling,front,brown,brown,brown,fair
000154.jpg,Man with sunglasses,front,brown,blonde,brown,fair
000155.jpg,woman with red hair,front,brown,red,brown,fair
000156.jpg,Portrait of a woman with blonde hair.,front,blue,blonde,blonde,fair
000157.jpg,Portrait of a young woman with long blonde hair.,front,blue,blonde,blonde,fair
000158.jpg,Close-up portrait of a man with dark hair and a neutral expression.,front,dark brown,black,dark brown,brown
000159.jpg,Close-up portrait of a woman with a serious expression.,front,brown,brown,brown,fair
000160.jpg,"Man with dark hair, looking down.",front,dark,dark,dark,fair
000161.jpg,"A young woman with long, dark hair and light skin.",front,brown,dark brown,dark brown,light
000162.jpg,Portrait of a young Black woman with dark hair.,front,brown,dark brown,dark brown,dark brown
000163.jpg,"Portrait of a woman with long, wavy dark brown hair.",front,brown,dark brown,dark brown,olive
000164.jpg,"Man with short brown hair, wearing a white shirt.",front,brown,brown,brown,fair
000165.jpg,"Portrait of a woman with long, wavy brown and blonde hair.",front,brown,brown and blonde,brown,fair
000166.jpg,"Man with short dark hair and beard, wearing a white baseball cap.",front,dark,dark,dark,fair
000167.jpg,A young woman with blonde hair looking downwards.,front,brown,blonde,blonde,fair
000168.jpg,Portrait of a woman with dark skin and dark hair against a white background.,front,brown,black,dark brown,dark brown
000169.jpg,A young man with dark eyes and dark hair looking upwards.,front,dark brown,black,dark brown,brown
000170.jpg,woman with red hair,front,brown,red,brown,fair
000171.jpg,Man with dark hair and a dark suit.,front,brown,dark brown,dark brown,fair
000172.jpg,Portrait of a woman with dark hair and makeup.,front,brown,dark brown,dark brown,fair
000173.jpg,young woman,front,brown,black,brown,brown
000174.jpg,Portrait of a woman with red hair.,front,brown,red,brown,fair
000175.jpg,Portrait of a woman,front,blue,brown,brown,fair
000176.jpg,Portrait of a woman with dark hair and light skin.,front,brown,dark brown,dark brown,light
000177.jpg,Close-up of a woman's face.,front,brown,black,black,fair
000178.jpg,woman with long blonde hair,front,brown,blonde,brown,fair
000179.jpg,woman,front,brown,black,black,fair
000180.jpg,woman's face,front,brown,brown,brown,fair
000181.jpg,smiling man,front,brown,dark brown,dark brown,light brown
000182.jpg,Close-up portrait of a Black man with a short haircut.,front,brown,black,black,brown
000183.jpg,Close-up portrait of a woman with brown hair and earrings.,front,brown,brown,brown,light
000184.jpg,Portrait of a woman with light brown hair and light skin.,front,brown,light brown,brown,light
000185.jpg,Portrait of a woman with dark hair and pink lips.,front,brown,dark brown,dark brown,fair
000186.jpg,"Close-up portrait of a woman with long, wavy hair and large, expressive eyes.",front,blue,brown,brown,fair
000187.jpg,Close-up portrait of a man with a neutral expression.,front,brown,brown,brown,olive
000188.jpg,Man wearing sunglasses,front,brown,brown,brown,fair
000189.jpg,"Close-up portrait of a person with long, flowing red hair.",front,dark,red,dark,olive
000190.jpg,"Portrait of a woman with long, wavy brown and blonde hair.",front,brown,brown and blonde,brown,fair
000191.jpg,woman with blonde hair,front,brown,blonde,brown,fair
000192.jpg,A woman with fair skin and brown hair.,front,brown,brown,brown,fair
000193.jpg,Man with short dark hair and sunglasses.,front,dark,dark,dark,fair
000194.jpg,Man in a suit gesturing with his hand.,front,brown,dark brown,dark brown,brown
000195.jpg,man wearing a black hat,front,brown,brown,brown,fair
000196.jpg,"A man with fair skin, light brown hair, and light brown eyes.",front,light brown,light brown,light brown,fair
000197.jpg,young man with dark hair,front,brown,dark brown,dark brown,fair
000198.jpg,Portrait of a woman with dark hair and brown eyes.,front,brown,dark brown,dark brown,fair
000199.jpg,"Close-up of a person's neck and shoulders with long, wavy brown hair.",front,unseen,brown,brown,fair
000200.jpg,A man with dark hair and a neutral expression.,front,dark,dark brown,dark brown,fair
000201.jpg,A young woman with blonde hair looking directly at the viewer.,front,blue,blonde,blonde,fair
000202.jpg,Man wearing sunglasses,front,brown,gray,gray,fair
000203.jpg,young man,front,brown,brown,brown,fair
000204.jpg,Portrait of a woman with dark eyes and brown skin.,front,brown,dark brown,dark brown,brown
000205.jpg,Close-up portrait of a man with dark hair and a neutral expression.,front,brown,dark brown,dark brown,fair
000206.jpg,Close-up portrait of a man with a neutral expression.,front,brown,dark brown,dark brown,olive
000207.jpg,"Woman with long, wavy brown hair.",front,brown,brown,brown,fair
000208.jpg,A young woman with long brown hair smiling.,front,brown,brown,brown,light
000209.jpg,Man with gray hair smiling,front,brown,gray,gray,fair
000210.jpg,Close-up portrait of a man speaking into a microphone.,front,brown,brown,brown,fair
000211.jpg,"A young woman with long, wavy dark hair smiling.",front,brown,dark brown,dark brown,fair
000212.jpg,Close-up portrait of a man with short brown hair.,front,brown,brown,brown,fair
000213.jpg,A man with gray hair and a beard.,front,gray,gray,gray,fair
000214.jpg,smiling man,front,brown,brown,brown,light
000215.jpg,A man with fair skin and neutral expression.,front,brown,blond,blond,fair
000216.jpg,Portrait of a woman with dark hair and a neutral expression.,front,brown,dark brown,dark brown,medium
000217.jpg,Portrait of a woman with blonde hair and earrings.,front,blue,blonde,blonde,fair
000218.jpg,Close-up portrait of a young woman with blonde hair.,front,blue,blonde,blonde,fair
000219.jpg,Portrait of a woman with vibrant teal hair.,front,green,teal,dark brown,fair
000220.jpg,"Young man with short, light brown hair smiling.",front,brown,light brown,brown,fair
000221.jpg,"Close-up portrait of a man with short, gray hair.",front,brown,gray,gray,fair
000222.jpg,Portrait of a woman with blonde hair.,front,blue,blonde,blonde,fair
000223.jpg,man holding a gold medal,front,brown,brown,brown,fair
000224.jpg,A man with gray hair looking at the camera.,front,gray,gray,gray,fair
000225.jpg,A young woman with dark hair smiling.,front,blue,black,black,fair
000226.jpg,A man with dark skin smiling.,front,brown,black,black,dark brown
000227.jpg,Man with a side profile,side,brown,dark brown,dark brown,fair
000228.jpg,smiling woman with blonde hair,front,brown,blonde,brown,fair
000229.jpg,Close-up portrait of a man with a beard.,front,brown,brown,brown,fair
000230.jpg,"Close-up portrait of a man with dark eyes and hair, wearing a white shirt.",front,brown,dark brown,dark brown,olive
000231.jpg,Close-up portrait of a woman with blonde hair and a slight smile.,front,blue,blonde,blonde,fair
000232.jpg,Portrait of a woman with dark hair and a smile.,front,brown,dark brown,dark brown,fair
000233.jpg,A woman with closed eyes.,front,brown,brown,brown,fair
000234.jpg,A man with a serious expression.,front,brown,gray,gray,olive
000235.jpg,A man with fair skin and brown hair looking directly at the viewer.,front,brown,brown,brown,fair
000236.jpg,"Portrait of a young woman with long, wavy brown hair.",front,brown,brown,brown,fair
000237.jpg,Close-up portrait of an elderly man wearing glasses and a black bow tie.,front,brown,gray,gray,fair
000238.jpg,"Portrait of a woman with long, wavy blonde hair.",front,blue,blonde,blonde,fair
000239.jpg,Portrait of a woman with blonde hair.,front,brown,blonde,brown,fair
000240.jpg,Close-up portrait of a woman with dark hair and makeup.,side,brown,dark brown,dark brown,fair
000241.jpg,A young woman smiling.,front,brown,brown,brown,fair
000242.jpg,Close-up portrait of a man with dark hair and a serious expression.,front,dark brown,dark brown,dark brown,olive
000243.jpg,woman looking at the camera,front,brown,blonde,blonde,fair
000244.jpg,Close-up portrait of a young man with a neutral expression.,front,brown,dark brown,dark brown,fair
000245.jpg,man,front,brown,dark brown,dark brown,light
000246.jpg,Portrait of a woman with dark hair.,front,brown,black,dark brown,fair
000247.jpg,woman smiling,front,brown,blonde,brown,fair
000248.jpg,A man with short brown hair wearing a suit.,front,brown,brown,brown,fair
000249.jpg,Portrait of a woman smiling,front,brown,brown,brown,light
000250.jpg,A man with dark skin and a beard.,front,brown,black,black,dark brown
000251.jpg,Close-up portrait of a woman with light brown hair and makeup.,front,brown,light brown,dark brown,fair
000252.jpg,Portrait of a woman with blonde hair and smiling.,front,blonde,blonde,blonde,fair
000253.jpg,Man with dark eyes and dark hair.,front,dark,dark,dark,fair
000254.jpg,woman smiling,front,brown,brown,brown,fair
000255.jpg,young man with dark hair,front,brown,dark brown,dark brown,fair
000256.jpg,"A young Black woman with long, dark hair is smiling.",front,brown,dark brown,dark brown,dark brown
000257.jpg,Portrait of a woman with red hair.,front,blue,red,dark brown,fair
000258.jpg,Portrait of a woman with dark hair and makeup.,front,brown,dark brown,dark brown,olive
000259.jpg,Portrait of a young woman with brown hair.,front,brown,brown,brown,fair
000260.jpg,Portrait of a woman with dark hair.,front,brown,black,dark brown,olive
000261.jpg,A young man with dark hair looking intently.,front,dark brown,dark brown,dark brown,fair
000262.jpg,Portrait of a woman with dark hair and a smile.,front,brown,dark brown,dark brown,olive
000263.jpg,woman portrait,front,brown,brown,brown,fair
000264.jpg,Man in suit,front,brown,gray,gray,fair
000265.jpg,"A man with a serious expression, looking down.",front,brown,gray,gray,fair
000266.jpg,A man wearing a green jacket and sunglasses.,front,brown,black,black,brown
000267.jpg,Portrait of a young woman with pale skin and blue eyes.,front,blue,dark brown,dark brown,pale
000268.jpg,A woman with dark hair and a neutral expression.,front,brown,dark brown,dark brown,fair
000269.jpg,"Portrait of a Black woman with dark eyes and lips, wearing a black dress.",front,dark brown,dark brown,dark brown,dark brown
000270.jpg,A woman with long brown hair smiling.,front,brown,brown,brown,fair
000271.jpg,Portrait of a woman with blonde hair.,front,brown,blonde,blonde,fair
000272.jpg,Man with a mustache,front,brown,black,brown,brown
000273.jpg,Portrait of a woman with light brown hair.,front,brown,light brown,brown,fair
000274.jpg,Smiling man with short brown hair.,front,brown,brown,brown,fair
000275.jpg,woman with sunglasses,front,brown,black,brown,fair
000276.jpg,Man with gray hair wearing a white shirt,front,gray,gray,gray,fair
000277.jpg,A young person with dark hair and a neutral expression.,front,brown,dark brown,dark brown,fair
000278.jpg,"A woman with long, wavy brown hair.",front,brown,brown,brown,fair
000279.jpg,Portrait of a woman with dark hair and red lipstick.,front,brown,dark brown,dark brown,fair
000280.jpg,Portrait of a woman with short brown hair.,front,brown,brown,brown,fair
000281.jpg,"A woman with long, wavy brown hair.",front,brown,brown,brown,fair
000282.jpg,Man with red hair smiling.,front,blue,red,brown,fair
000283.jpg,A young Black person is speaking into a microphone.,front,brown,black,brown,brown
000284.jpg,Close-up portrait of a Black man with a slight smile.,front,brown,gray,gray,dark brown
000285.jpg,Portrait of a woman with dark hair and brown eyes.,front,brown,dark brown,dark brown,fair
000286.jpg,A man with a neutral expression.,front,brown,brown,brown,fair
000287.jpg,woman with blonde wavy hair,front,blue,blonde,blonde,fair
000288.jpg,woman,front,brown,blonde,brown,fair
000289.jpg,Portrait of a young woman with long dark hair.,front,brown,black,dark brown,fair
000290.jpg,Close-up portrait of a woman with dark hair and red lipstick.,front,brown,dark brown,dark brown,fair
000291.jpg,Close-up portrait of an elderly woman with gray hair.,front,gray,gray,gray,fair
000292.jpg,Close-up portrait of a woman with dark hair and a neutral expression.,front,dark brown,dark brown,dark brown,fair
000293.jpg,Person looking down,front,brown,dark brown,dark brown,fair
000294.jpg,"A young man with dark hair and eyes, looking to the side.",side,brown,dark brown,dark brown,olive
000295.jpg,Man smiling,front,brown,gray,gray,fair
000296.jpg,Portrait of a woman,front,brown,brown,brown,fair
000297.jpg,Close-up portrait of a young man with short brown hair and a neutral expression.,front,brown,brown,brown,fair
000298.jpg,Smiling Black Man,front,brown,black,brown,brown
000299.jpg,A man with gray hair smiling.,front,gray,gray,gray,fair
000300.jpg,Person with a beard,front,brown,black,brown,brown
000301.jpg,Portrait of a woman with brown hair.,front,brown,brown,brown,fair
000302.jpg,A young woman with blonde hair smiling.,front,blue,blonde,blonde,fair
000303.jpg,"Portrait of a young Black woman with long, dark hair and large gold earrings.",front,brown,black,dark brown,dark brown
000304.jpg,A woman with blonde curly hair.,front,blue,blonde,blonde,fair
000305.jpg,Portrait of a woman,front,brown,brown,brown,fair
000306.jpg,Man with a suit and tie,front,brown,gray,gray,fair
000307.jpg,Close-up portrait of a man with a beard and glasses.,front,brown,red,brown,fair
000308.jpg,Woman with black and white hair,front,dark,black and white,black,fair
000309.jpg,A person's face.,front,brown,brown,brown,fair
000310.jpg,Close-up of a man's face.,front,gray,gray,gray,fair
000311.jpg,Close-up portrait of a man with a beard and reddish-brown hair.,front,brown,reddish-brown,brown,fair
000312.jpg,Close-up portrait of a young woman with curly hair.,front,brown,dark brown,dark brown,medium
000313.jpg,A man with gray hair smiling.,front,gray,gray,gray,fair
000314.jpg,A young man with a beard and dark hair.,front,dark,dark,dark,fair
000315.jpg,woman,front,brown,brown,brown,fair
000316.jpg,A man with a gray beard is looking at the camera.,front,brown,gray,gray,brown
000317.jpg,smiling woman,front,blue,blonde,blonde,fair
000318.jpg,Man with dark hair and neutral expression.,front,dark,dark,dark,fair
000319.jpg,Woman with blonde hair,front,brown,blonde,brown,fair
000320.jpg,Man with short dark hair and a neutral expression.,front,brown,dark brown,dark brown,fair
000321.jpg,Man speaking into a microphone.,front,brown,black,black,fair
000322.jpg,Woman with long blonde hair and earrings.,front,blue,blonde,blonde,fair
000323.jpg,Close-up portrait of a woman with dark hair and makeup.,front,dark brown,dark brown,dark brown,olive
000324.jpg,Man with glasses,front,brown,black,black,fair
000325.jpg,A woman with blonde hair and blue eyes smiling.,front,blue,blonde,blonde,fair
000326.jpg,Close-up portrait of a woman with blonde hair.,front,brown,blonde,blonde,fair
000327.jpg,Portrait of a woman with dark hair and red lipstick.,front,brown,black,black,fair
000328.jpg,Portrait of a woman with dark hair and brown eyes.,front,brown,dark brown,dark brown,fair
000329.jpg,Man with short brown hair and a neutral expression.,front,brown,brown,brown,fair
000330.jpg,Close-up portrait of a man wearing glasses.,front,brown,gray,gray,fair
000331.jpg,A young man wearing glasses and a dark jacket.,front,brown,black,black,fair
000332.jpg,woman,front,brown,black,black,brown
000333.jpg,Man with a beard,front,brown,brown,brown,fair
000334.jpg,smiling woman,front,blue,blonde,blonde,fair
000335.jpg,"Close-up of a man wearing sunglasses, with a neutral expression.",front,brown,brown,brown,fair
000336.jpg,A young man with dark skin and short hair.,front,brown,black,dark brown,dark brown
000337.jpg,"Portrait of a woman with long, wavy brown hair.",front,blue,brown,brown,light
000338.jpg,A young person with blonde hair.,front,brown,blonde,brown,fair
000339.jpg,A man with short dark hair and a neutral expression.,front,brown,dark brown,dark brown,fair
000340.jpg,"A man with a smiling expression, wearing a black suit.",front,brown,gray,gray,fair
000341.jpg,A young woman with blonde hair and a blue headband smiling.,front,blue,blonde,blonde,fair
000342.jpg,A young woman with dark eyes and dark hair.,front,dark brown,black,dark brown,dark brown
000343.jpg,Woman with blonde hair,front,brown,blonde,brown,fair
000344.jpg,Portrait of a woman with blonde hair.,front,blue,blonde,blonde,fair
000345.jpg,"A young woman with long, wavy dark hair.",front,brown,dark brown,dark brown,fair
000346.jpg,A person with neutral expression.,front,brown,brown,brown,fair
000347.jpg,"Close-up portrait of a young woman with pale skin and short, choppy blonde hair.",front,grey,blonde,blonde,pale
000348.jpg,Portrait of a woman with blonde hair.,front,brown,blonde,blonde,fair
000349.jpg,Portrait of a young Black woman with dark hair and highlights.,front,brown,black with blonde highlights,dark brown,dark brown
000350.jpg,"A man wearing a white shirt and black suit jacket, sunglasses, and a neutral expression.",front,brown,black,brown,brown
000351.jpg,Woman with blonde hair looking at the camera,front,blue,blonde,blonde,fair
000352.jpg,smiling young man,front,brown,brown,brown,fair
000353.jpg,"A young woman with long, wavy brown hair smiling.",front,brown,brown,brown,fair
000354.jpg,woman smiling,front,brown,black,brown,light
000355.jpg,Portrait of a young Black man wearing a white blazer.,front,brown,black,dark brown,brown
000356.jpg,Portrait of a woman with dark hair and eyes.,front,brown,dark brown,dark brown,olive
000357.jpg,Portrait of a woman with blonde hair.,front,blue,blonde,blonde,fair
000358.jpg,"A man with fair skin, brown hair, and a neutral expression.",front,brown,brown,brown,fair
000359.jpg,Portrait of a woman,front,brown,brown,brown,fair
000360.jpg,man with short brown hair,front,brown,brown,brown,fair
000361.jpg,Close-up portrait of a young woman with dark hair and a neutral expression.,front,brown,black,dark brown,fair
000362.jpg,A young man with dark hair and a serious expression.,front,brown,dark brown,dark brown,olive
000363.jpg,A young man with dark hair looking to the side.,side,brown,dark brown,dark brown,fair
